#Vega Scene - Grønt tak, 6.96.0, Nedbør, dogn
Tidspunkt;Nedbør (mm);Korrigert;Kontrollert
2022-11-06 23:00:00Z;7,290009;0;1
2022-11-07 23:00:00Z;-10000000000;0;1
2022-11-08 23:00:00Z;4,780001;0;1
2022-11-09 23:00:00Z;4,780001;0;1
2022-11-10 23:00:00Z;2;0;1
2022-11-11 23:00:00Z;0,13;0;1
2022-11-12 23:00:00Z;0;0;1
2022-11-13 23:00:00Z;0;0;1
2022-11-14 23:00:00Z;0;0;1
2022-11-15 23:00:00Z;0,2499999;0;1
2022-11-16 23:00:00Z;0,26;0;1
2022-11-17 23:00:00Z;0,4699999;0;1
2022-11-18 23:00:00Z;0,3;0;1
2022-11-19 23:00:00Z;2,24;0;1
2022-11-20 23:00:00Z;1,22;0;1
2022-11-21 23:00:00Z;3,510001;0;1
2022-11-22 23:00:00Z;0,7;0;1
2022-11-23 23:00:00Z;4,489998;0;1
2022-11-24 23:00:00Z;2,15;0;1
2022-11-25 23:00:00Z;0,37;0;1
2022-11-26 23:00:00Z;1,580001;0;1
2022-11-27 23:00:00Z;4,510001;0;1
2022-11-28 23:00:00Z;0,3;0;1
2022-11-29 23:00:00Z;0;0;1
2022-11-30 23:00:00Z;0,5400001;0;1
2022-12-01 23:00:00Z;0;0;1
2022-12-02 23:00:00Z;0,04;0;1
2022-12-03 23:00:00Z;0;0;1
2022-12-04 23:00:00Z;0;0;1
2022-12-05 23:00:00Z;0;0;1
2022-12-06 23:00:00Z;0,05000001;0;1
2022-12-07 23:00:00Z;0;0;1
2022-12-08 23:00:00Z;0,27;0;1
2022-12-09 23:00:00Z;0,3999999;0;1
2022-12-10 23:00:00Z;0;0;1
2022-12-11 23:00:00Z;0,009999998;0;1
2022-12-12 23:00:00Z;0;0;1
2022-12-13 23:00:00Z;4,419998;0;1
2022-12-14 23:00:00Z;0,7899999;0;1
2022-12-15 23:00:00Z;0;0;1
2022-12-16 23:00:00Z;0,8899999;0;1
2022-12-17 23:00:00Z;10,33002;0;1
2022-12-18 23:00:00Z;0,14;0;1
2022-12-19 23:00:00Z;5,219999;0;1
2022-12-20 23:00:00Z;4,019997;0;1
2022-12-21 23:00:00Z;9,27;0;1
2022-12-22 23:00:00Z;4,570002;0;1
2022-12-23 23:00:00Z;0;0;1
2022-12-24 23:00:00Z;0;0;1
2022-12-25 23:00:00Z;1,32;0;1
2022-12-26 23:00:00Z;28,71996;0;1
2022-12-27 23:00:00Z;0;0;1
2022-12-28 23:00:00Z;0,05000001;0;1
2022-12-29 23:00:00Z;5,690004;0;1
2022-12-30 23:00:00Z;4,029999;0;1
2022-12-31 23:00:00Z;2,629999;0;1
2023-01-01 23:00:00Z;0;0;1
2023-01-02 23:00:00Z;0,14;0;1
2023-01-03 23:00:00Z;0;0;1
2023-01-04 23:00:00Z;11,74;0;1
2023-01-05 23:00:00Z;1,89;0;1
2023-01-06 23:00:00Z;6,400007;0;1
2023-01-07 23:00:00Z;4,57;0;1
2023-01-08 23:00:00Z;-10000000000;0;1
2023-01-09 23:00:00Z;4,940002;0;1
2023-01-10 23:00:00Z;0,84;0;1
2023-01-11 23:00:00Z;-10000000000;0;1
2023-01-12 23:00:00Z;1,43;0;1
2023-01-13 23:00:00Z;9,67001;0;1
2023-01-14 23:00:00Z;4,820001;0;1
2023-01-15 23:00:00Z;9,190011;0;1
2023-01-16 23:00:00Z;-10000000000;0;1
2023-01-17 23:00:00Z;7,030007;0;1
2023-01-18 23:00:00Z;2,819999;0;1
2023-01-19 23:00:00Z;0,9900001;0;1
2023-01-20 23:00:00Z;0;0;1
2023-01-21 23:00:00Z;0;0;1
2023-01-22 23:00:00Z;0;0;1
2023-01-23 23:00:00Z;0;0;1
2023-01-24 23:00:00Z;0;0;1
2023-01-25 23:00:00Z;0,05000001;0;1
2023-01-26 23:00:00Z;0;0;1
2023-01-27 23:00:00Z;0;0;1
2023-01-28 23:00:00Z;0;0;1
2023-01-29 23:00:00Z;0,49;0;1
2023-01-30 23:00:00Z;0;0;1
2023-01-31 23:00:00Z;0,21;0;1
2023-02-01 23:00:00Z;0,1;0;1
2023-02-02 23:00:00Z;0;0;1
2023-02-03 23:00:00Z;0,47;0;1
2023-02-04 23:00:00Z;0;0;1
2023-02-05 23:00:00Z;3,609997;0;1
2023-02-06 23:00:00Z;0;0;1
2023-02-07 23:00:00Z;0;0;1
2023-02-08 23:00:00Z;0,9700001;0;1
2023-02-09 23:00:00Z;0,88;0;1
2023-02-10 23:00:00Z;0,18;0;1
2023-02-11 23:00:00Z;0;0;1
2023-02-12 23:00:00Z;0;0;1
2023-02-13 23:00:00Z;0;0;1
2023-02-14 23:00:00Z;0;0;1
2023-02-15 23:00:00Z;0,06000001;0;1
2023-02-16 23:00:00Z;0,55;0;1
2023-02-17 23:00:00Z;14,39001;0;1
2023-02-18 23:00:00Z;0,03;0;1
2023-02-19 23:00:00Z;0;0;1
2023-02-20 23:00:00Z;7,150005;0;1
2023-02-21 23:00:00Z;0,28;0;1
2023-02-22 23:00:00Z;3,949996;0;1
2023-02-23 23:00:00Z;3,379997;0;1
2023-02-24 23:00:00Z;5,460002;0;1
2023-02-25 23:00:00Z;1,27;0;1
2023-02-26 23:00:00Z;0;0;1
2023-02-27 23:00:00Z;0;0;1
2023-02-28 23:00:00Z;0;0;1
2023-03-01 23:00:00Z;0;0;1
2023-03-02 23:00:00Z;0;0;1
2023-03-03 23:00:00Z;0,009999998;0;1
2023-03-04 23:00:00Z;0,91;0;1
2023-03-05 23:00:00Z;0,3799999;0;1
2023-03-06 23:00:00Z;0;0;1
2023-03-07 23:00:00Z;0,12;0;1
2023-03-08 23:00:00Z;0,8199999;0;1
2023-03-09 23:00:00Z;0,25;0;1
2023-03-10 23:00:00Z;0;0;1
2023-03-11 23:00:00Z;0;0;1
2023-03-12 23:00:00Z;0;0;1
2023-03-13 23:00:00Z;9,22001;0;1
2023-03-14 23:00:00Z;2,69;0;1
2023-03-15 23:00:00Z;0;0;1
2023-03-16 23:00:00Z;0,51;0;1
2023-03-17 23:00:00Z;11,71002;0;1
2023-03-18 23:00:00Z;0,2900001;0;1
2023-03-19 23:00:00Z;0,59;0;1
2023-03-20 23:00:00Z;0,51;0;1
2023-03-21 23:00:00Z;4,55;0;1
2023-03-22 23:00:00Z;7,820014;0;1
2023-03-23 23:00:00Z;4,35;0;1
2023-03-24 23:00:00Z;2,3;0;1
2023-03-25 23:00:00Z;5,910004;0;1
2023-03-26 23:00:00Z;0,09999999;0;1
2023-03-27 23:00:00Z;0,55;0;1
2023-03-28 23:00:00Z;1,970001;0;1
2023-03-29 23:00:00Z;3,859998;0;1
2023-03-30 23:00:00Z;-10000000000;0;1
2023-03-31 23:00:00Z;0,5499998;0;1
2023-04-01 23:00:00Z;0,03;0;1
2023-04-02 23:00:00Z;0;0;1
2023-04-03 23:00:00Z;0;0;1
2023-04-04 23:00:00Z;0;0;1
2023-04-05 23:00:00Z;0;0;1
2023-04-06 23:00:00Z;1,43;0;1
2023-04-07 23:00:00Z;0;0;1
2023-04-08 23:00:00Z;0;0;1
2023-04-09 23:00:00Z;0;0;1
2023-04-10 23:00:00Z;0,7499998;0;1
2023-04-11 23:00:00Z;5,210003;0;1
2023-04-12 23:00:00Z;0,52;0;1
2023-04-13 23:00:00Z;8,150002;0;1
2023-04-14 23:00:00Z;14,75002;0;1
2023-04-15 23:00:00Z;10,31001;0;1
2023-04-16 23:00:00Z;0;0;1
2023-04-17 23:00:00Z;0;0;1
2023-04-18 23:00:00Z;0,009999998;0;1
2023-04-19 23:00:00Z;0;0;1
2023-04-20 23:00:00Z;0;0;1
2023-04-21 23:00:00Z;-10000000000;0;1
2023-04-22 23:00:00Z;0;0;1
2023-04-23 23:00:00Z;8,750007;0;1
2023-04-24 23:00:00Z;16,18001;0;1
2023-04-25 23:00:00Z;22,51993;0;1
2023-04-26 23:00:00Z;0,3799999;0;1
2023-04-27 23:00:00Z;0,22;0;1
2023-04-28 23:00:00Z;0;0;1
2023-04-29 23:00:00Z;0,85;0;1
2023-04-30 23:00:00Z;0,009999998;0;1
2023-05-01 23:00:00Z;5,02;0;1
2023-05-02 23:00:00Z;0,04999999;0;1
2023-05-03 23:00:00Z;0,03;0;1
2023-05-04 23:00:00Z;0,11;0;1
2023-05-05 23:00:00Z;0;0;1
2023-05-06 23:00:00Z;0;0;1
2023-05-07 23:00:00Z;0;0;1
2023-05-08 23:00:00Z;0;0;1
2023-05-09 23:00:00Z;0;0;1
2023-05-10 23:00:00Z;0;0;1
2023-05-11 23:00:00Z;0;0;1
2023-05-12 23:00:00Z;0;0;1
2023-05-13 23:00:00Z;0;0;1
2023-05-14 23:00:00Z;0;0;1
2023-05-15 23:00:00Z;0;0;1
2023-05-16 23:00:00Z;0;0;1
2023-05-17 23:00:00Z;0;0;1
2023-05-18 23:00:00Z;0;0;1
2023-05-19 23:00:00Z;0;0;1
2023-05-20 23:00:00Z;0;0;1
2023-05-21 23:00:00Z;0;0;1
2023-05-22 23:00:00Z;0;0;1
2023-05-23 23:00:00Z;0;0;1
2023-05-24 23:00:00Z;0;0;1
2023-05-25 23:00:00Z;-10000000000;0;1
2023-05-26 23:00:00Z;0,05;0;1
2023-05-27 23:00:00Z;0,6;0;1
